Num_Acc,catr,circ,nbv,prof,plan,larrout,surf,infra,situ,vma
202300000313,4,2,2.0,1,1,-1.0,1,0,1,30
202300000314,4,2,1.0,1,1,-1.0,1,0,1,50
202300000315,4,2,2.0,1,1,-1.0,1,0,1,-1
202300000316,4,4,4.0,1,1,10.5,1,0,1,50
202300000316,4,3,3.0,1,1,-1.0,1,0,1,-1
202300000317,7,3,4.0,1,1,-1.0,2,0,1,70
202300000318,4,2,4.0,2,1,-1.0,1,0,1,50
202300000319,4,2,2.0,1,1,-1.0,1,0,1,50
202300000320,4,2,0.0,1,1,-1.0,1,0,1,50
202300000321,4,2,2.0,1,1,-1.0,1,0,5,50
202300000322,7,3,4.0,1,1,-1.0,1,0,1,50
202300000323,9,-1,0.0,1,2,-1.0,1,4,6,-1
202300000324,4,2,2.0,1,1,-1.0,2,0,1,50
202300000325,4,2,2.0,1,1,-1.0,2,0,1,50
202300000326,4,1,1.0,1,1,-1.0,2,0,1,30
202300000326,4,2,-1.0,1,1,-1.0,2,0,1,30
202300000327,6,-1,-1.0,1,1,-1.0,1,0,1,30
202300000328,7,1,3.0,1,1,-1.0,1,5,1,50
202300000328,7,2,2.0,1,1,-1.0,1,5,1,30
202300000329,4,2,2.0,1,2,-1.0,1,5,1,30
202300000329,4,2,2.0,1,1,-1.0,1,5,1,30
202300000330,7,2,-1.0,1,2,-1.0,2,2,1,80
202300000331,3,1,0.0,1,3,-1.0,2,0,1,50
202300000332,4,2,2.0,1,1,-1.0,1,0,1,50
202300000333,4,1,1.0,1,1,-1.0,1,0,1,30
202300000333,4,2,3.0,2,1,-1.0,1,-1,1,30
202300000334,7,2,-1.0,1,2,-1.0,1,2,1,80
202300000335,4,2,2.0,1,1,-1.0,1,0,1,50
202300000336,1,2,2.0,1,1,3.5,2,0,1,90
202300000337,3,2,2.0,1,1,7.0,1,0,1,50
202300000337,3,2,1.0,1,1,-1.0,1,0,8,10
202300000338,4,2,2.0,1,1,-1.0,1,0,1,50
202300000338,4,2,2.0,1,1,-1.0,1,9,1,50
202300000339,4,2,2.0,1,1,-1.0,1,0,1,30
202300000339,4,2,2.0,1,1,-1.0,1,0,1,50
202300000340,3,-1,-1.0,1,1,-1.0,2,0,1,50
202300000340,3,-1,2.0,1,2,7.0,2,0,1,50
202300000341,4,2,3.0,4,1,-1.0,1,0,1,30
202300000342,4,3,6.0,2,4,-1.0,1,0,1,50
202300000342,4,1,-1.0,1,1,-1.0,1,5,1,-1
202300000343,4,1,1.0,1,1,-1.0,2,0,1,30
202300000344,2,2,2.0,1,1,5.5,1,0,1,50
202300000345,3,1,1.0,1,2,-1.0,1,0,1,50
